four_people,median_income,one_person,percent_college,percent_lunch,percent_married,rate_unemployment,three_people,two_people,zip_code,average_act
1216.0,37528.0,1625.0,0.645779388917659,0.190692395005675,0.605371900826446,0.111178247734139,914.0,2106.0,49286,20.8
340.0,32525.0,351.0,0.531269740998105,0.419014084507042,0.699745547073791,0.179347826086957,277.0,691.0,48850,19.3
1839.067726902162,13488.0,2691.8088648812695,0.660237388724036,0.737160120845921,0.54,0.180653427290199,1357.4130734046723,2636.3853166859553,2115,17.7838827838828
1616.0,57794.0,1166.0,0.592954990215264,0.139123102866779,0.819176654507556,0.092187967674349,1016.0,2547.0,46356,20.4481074481074
280.0,48633.0,553.0,0.482649126786119,0.636923076923077,0.642292490118577,0.0763435459568056,330.0,469.0,44442,21.0
3836.0,42572.0,6364.0,0.39211702559935,0.30791788856305,0.638961038961039,0.0871905274488698,3032.0,7088.0,43302,20.0
182.0,50000.0,158.0,0.511377245508982,0.276923076923077,0.662007623888183,0.0281312793034159,166.0,322.0,46978,20.2063492063492
2397.0,80027.0,1364.0,0.691597414589104,0.42,0.834910620399579,0.0252596126859388,804.0,1767.0,78653,19.2002442002442
1283.0,32387.0,1413.0,0.345294117647059,0.409282700421941,0.537331701346389,0.139419674451522,997.0,2155.0,40444,18.9
19.0,50347.0,26.0,0.470340604668963,0.311111111111111,0.682926829268293,0.0995418575593503,6.0,29.0,46931,20.6239316239316
588.0,64317.0,459.0,0.615058823529412,0.272569444444444,0.806774014436424,0.0934887256143907,359.0,940.0,37082,21.2
230.0,39103.0,299.0,0.448409619860357,0.489184692179701,0.613496932515337,0.163766632548618,175.0,390.0,49340,19.8
6194.0,63516.0,4224.0,0.587233279540972,0.233998623537509,0.706508875739645,0.0850009179364788,4780.0,8468.0,76028,21.2026862026862
487.0,39979.0,810.0,0.529801324503311,0.316239316239316,0.797453703703704,0.0778557753669432,283.0,973.0,54456,21.4
1111.0,102383.0,2116.0,0.788472964943553,0.283914728682171,0.692429022082019,0.0339188370684434,904.0,1836.0,19809,18.3137973137973
895.0,9003.0,5341.0,0.282222222222222,0.684021543985637,0.0,0.392655367231638,1065.0,1747.0,40203,17.1
509.0,53587.0,459.0,0.484575835475578,0.809160305343511,0.719101123595506,0.0477590007347539,444.0,669.0,45381,22.0
124.0,44505.0,122.0,0.602020202020202,0.312056737588652,0.633308984660336,0.0243661508067172,90.0,264.0,76264,18.4676434676435
2938.0,29521.0,5889.0,0.502520161290323,0.568707482993197,0.530581039755352,0.140461215932914,3217.0,6299.0,47374,20.3357753357753
2130.0,91591.0,2019.0,0.772804532577904,0.197885196374622,0.8928046989721,0.0707908163265306,1713.0,3231.0,60002,21.2
2388.625491339124,112281.0,2330.4969719882897,0.876399360292438,0.0397946084724005,0.830428638718794,0.0667123600639708,1563.531162210449,3437.8601883629863,2053,23.8888888888889
1738.0,41904.0,2379.0,0.603576751117735,0.821626617375231,0.627425614489004,0.0490605427974948,1166.0,2598.0,40215,15.3
1605.0,47403.0,2129.0,0.415086388537716,0.59605026929982,0.620624408703879,0.0869976359338061,1045.0,2384.0,17512,19.5909645909646
2847.0,90017.0,4356.0,0.780763790664781,0.596615720524017,0.883092394720302,0.0964998364409552,2386.0,4309.0,30084,18.5164835164835
433.0,51275.0,655.0,0.485201358563804,0.183976261127596,0.685430463576159,0.0770741286205204,685.0,1444.0,46737,21.0537240537241
2621.0,46292.0,4656.0,0.526428571428571,0.646716101694915,0.59286463798531,0.093127147766323,2348.0,4922.0,63114,18.5
53.0,54688.0,244.0,0.74034620505992,0.316666666666667,0.935483870967742,0.0517529215358932,43.0,515.0,54562,22.4
1756.0,40238.0,2058.0,0.771074380165289,0.110410094637224,0.638364779874214,0.0545851528384279,1209.0,3188.0,54022,23.2
3661.0,91375.0,2537.0,0.696796840719614,0.124555160142349,0.850642927794263,0.0788781770376862,2072.0,3993.0,60046,22.5
411.0,52896.0,235.0,0.551234892275355,0.277899343544858,0.571996027805363,0.122063037249284,239.0,449.0,61360,19.2
102.0,43750.0,295.0,0.526315789473684,0.326241134751773,0.729050279329609,0.157701711491443,90.0,233.0,76629,18.028083028083
34.0,54530.0,36.0,0.581175160122529,0.524163568773234,0.662247034193999,0.0549520766773163,32.0,69.0,78339,20.4456654456654
372.0,62188.0,298.0,0.311191335740072,0.418070444104135,0.758203799654577,0.041044776119403,121.0,345.0,46910,20.1135531135531
579.0,64678.0,853.0,0.635347351610327,0.218455743879473,0.751291989664083,0.0472103004291846,289.0,886.0,62230,20.7
110.0,25317.0,111.0,0.32605583392985,0.618852459016393,0.497965825874695,0.111696522655427,84.0,172.0,37313,17.6
1196.0,42209.0,1174.0,0.543562295569432,0.31151832460733,0.761011419249592,0.107530910453353,695.0,1464.0,45694,21.0
616.0,59583.0,664.0,0.649518752074345,0.564299424184261,0.748575498575499,0.0611702127659574,790.0,1128.0,27301,17.7838827838828
805.0,54341.0,1040.0,0.7193096711169,0.221084337349398,0.741818181818182,0.194039054470709,661.0,1584.0,65583,21.0
1947.397466731751,32917.0,2620.766165388246,0.602995270625328,0.857685009487666,0.781332164767748,0.0777063886531701,1398.052330401172,2794.0582662575275,78540,19.6153846153846
975.0,31326.0,1609.0,0.630460448642267,0.288461538461538,0.652173913043478,0.108516483516484,528.0,2028.0,49849,20.6
1896.0,34779.0,4543.0,0.699709864603482,0.232669322709163,0.715116279069767,0.0682926829268293,1629.0,4524.0,15146,21.5689865689866
3325.0,27757.0,6193.0,0.289486552567237,0.858629661751951,0.623762376237624,0.156862745098039,2205.0,4667.0,75231,15.9035409035409
1250.0,31586.0,1756.0,0.448763250883392,0.827655310621243,0.434653465346535,0.147912885662432,957.0,1601.0,62206,15.9
1275.0,23414.0,4313.0,0.345672291780076,0.564411492122336,0.321752265861027,0.130309575233981,1392.0,2945.0,15132,18.003663003663
2193.0,51741.0,4973.0,0.910704679935449,0.639473684210526,0.723608445297505,0.0403690888119954,1659.0,4980.0,40207,16.4
