four_people,median_income,one_person,percent_college,percent_lunch,percent_married,rate_unemployment,state,three_people,two_people,zip_code,average_act
3135.0,42167.0,4807.0,0.44577831132453,0.22140221402214,0.635555555555556,0.0991902834008097,OH,2672.0,5901.0,44203,22.0
585.0,43308.0,460.0,0.375806904294134,0.39,0.698620188816267,0.132290648419681,IN,289.0,950.0,47165,20.9145299145299
2063.481192807192,54012.0,2546.4768690125893,0.706432105552501,0.262384322264562,0.847457627118644,0.0808293269230769,MA,1442.638459956151,2968.3620896758057,1960,21.9352869352869
922.0,66385.0,1240.0,0.643218033424019,0.4,0.809,0.0838600927096502,IL,623.0,1719.0,61607,18.8
445.0,56192.0,416.0,0.414073719483006,0.25,0.748124330117899,0.0761501850872554,OH,430.0,889.0,43344,21.0
888.0,66548.0,1080.0,0.587525150905433,0.42237061769616,0.693721286370597,0.0437530384054448,TX,366.0,1275.0,79735,18.3943833943834
1994.469448393051,42746.0,2599.3120651098207,0.418439716312057,0.769747899159664,0.526405451448041,0.100944081336238,TX,1417.409068419136,2884.0061218222604,77631,16.6849816849817
2584.0,20625.0,4266.0,0.3525,0.268221574344023,0.11829134720701,0.160958904109589,FL,1886.0,6384.0,32955,22.6434676434676
6340.0,97281.0,5414.0,0.732925257731959,0.184459459459459,0.943064809206541,0.0615001777461785,OH,4000.0,7218.0,43026,23.0
7026.0,90455.0,3606.0,0.637128072445019,0.235054693462223,0.793236714975845,0.0884381338742393,NY,4152.0,6446.0,10312,20.6166056166056
1361.0,41019.0,1809.0,0.514231499051233,0.376811594202899,0.738041002277904,0.0873015873015873,NC,1363.0,2650.0,28716,21.6666666666667
839.0,42404.0,2365.0,0.755347996384453,0.324942791762014,0.747211895910781,0.135907335907336,WA,719.0,3252.0,98368,23.5470085470085
1161.0,92134.0,983.0,0.67053241960991,0.112582781456954,0.879324215607401,0.0638766519823789,WY,730.0,1772.0,82935,19.7
3105.0,46639.0,3974.0,0.468390804597701,0.495873452544704,0.367209971236817,0.10727969348659,WA,1904.0,4128.0,98002,21.1782661782662
2650.0,51719.0,4033.0,0.827258320126783,0.687385740402194,0.894308943089431,0.12202852614897,OH,1460.0,3176.0,43219,15.0
5379.0,30813.0,6110.0,0.453546910755149,0.782263401720715,0.41438032166509,0.285384170999422,IL,3626.0,4954.0,60411,17.3
212.0,54967.0,212.0,0.499248120300752,0.181034482758621,0.837433155080214,0.0633595284872299,OH,192.0,363.0,44677,21.0
174.0,64012.0,152.0,0.534451219512195,0.275,0.749269717624148,0.0497032640949555,TX,38.0,273.0,76093,18.7118437118437
868.0,30849.0,559.0,0.314997104806022,0.613953488372093,0.633828996282528,0.15843949044586,MO,325.0,762.0,65746,22.3
1993.0,35617.0,3263.0,0.496983408748115,0.385393258426966,0.45136186770428,0.132682926829268,NC,1796.0,3608.0,27870,20.006105006105
920.0,38028.0,1368.0,0.478048780487805,0.299776286353468,0.588194444444444,0.0929808568824066,TX,474.0,1268.0,76230,20.6410256410256
1967.873934537888,38429.0,2619.5441538411787,0.187757504414361,0.639914772727273,0.497167138810198,0.126682986536108,MA,1407.6821030542203,2851.687001569252,2150,18.3455433455433
320.0,49231.0,540.0,0.596893990546928,0.206106870229008,0.841219768664564,0.0811006517016655,TX,219.0,706.0,76365,21.2515262515263
5741.0,62682.0,3163.0,0.580535966149506,0.19047619047619,0.810246679316888,0.0561269468116368,NC,3115.0,6193.0,28110,21.4224664224664
154.0,64469.0,189.0,0.565693430656934,0.435028248587571,0.758293838862559,0.0246113989637306,OH,150.0,335.0,45877,22.0
656.0,46350.0,904.0,0.62286562731997,0.304964539007092,0.792663476874003,0.0928,PA,419.0,957.0,16150,20.006105006105
3725.0,70024.0,3215.0,0.711739397664413,0.283464566929134,0.908380681818182,0.0502523590081194,OH,2174.0,4790.0,43110,21.0
1465.0,38019.0,2404.0,0.434763379035825,0.434603501544799,0.535181236673774,0.128254580520733,TN,1456.0,3058.0,38242,19.6
6725.0,44104.0,8773.0,0.496607869742198,0.619963920625376,0.398533007334963,0.0940265486725664,IL,5085.0,8862.0,60625,19.7
881.0,48472.0,1273.0,0.543165467625899,0.367041198501873,0.649883810999225,0.107308048103608,LA,626.0,1030.0,70669,19.1
2177.1113810306533,72460.0,2459.9095093862816,0.602370955791553,0.0709779179810726,0.793793103448276,0.105490594814438,NJ,1484.1921464904324,3106.4849610061483,7442,21.8620268620269
5457.0,31935.0,4754.0,0.440021810250818,0.517965726920951,0.548566142460685,0.081267217630854,TX,3370.0,6048.0,79924,17.979242979243
7197.0,50669.0,7045.0,0.43014521782674,0.331247942048074,0.668067226890756,0.202325581395349,NY,5142.0,6173.0,10468,30.4822954822955
1471.0,87802.0,16387.0,0.885356956748306,0.665948275862069,0.44314381270903,0.0405368392221309,NY,2426.0,8469.0,10011,16.0989010989011
1028.0,45085.0,2043.0,0.597104945717732,0.29261744966443,0.571884984025559,0.0549907578558226,WI,782.0,2217.0,53901,22.6
885.0,18167.0,3060.0,0.728665207877462,0.149946638207044,0.397849462365591,0.117037037037037,KY,643.0,1823.0,40208,26.9
1933.4350063904997,32861.0,2645.668278706079,0.344262295081967,0.614583333333333,0.422794117647059,0.0571683787405092,NJ,1395.080615845977,2809.962121897931,8861,17.4175824175824
1933.0,48856.0,3010.0,0.559456398640997,0.182724252491694,0.441115702479339,0.105866784296427,NC,1553.0,2950.0,27565,21.959706959707
1678.0,46192.0,3803.0,0.624550898203593,0.425953079178886,0.579710144927536,0.0365135453474676,PA,1338.0,3680.0,17109,19.3711843711844
