four_people,median_income,one_person,percent_college,percent_lunch,percent_married,rate_unemployment,three_people,total_estimate,two_people,zip_code,average_act
2046.8300628702236,89196.0,2568.1228805624064,0.79376904842533,0.15580016934801,0.76962899050906,0.0919385279050957,1441.0497237425895,9012.283101543933,2956.280434368529,8648,22.7411477411477
1632.0,73419.0,610.0,0.661451275101639,0.30514096185738,0.747523709167545,0.0391720162452509,797.0,4352.0,1313.0,75409,20.7631257631258
1865.0,40000.0,2369.0,0.474955804360636,0.304411764705882,0.536756126021004,0.117211597779149,1279.0,8430.0,2917.0,47240,20.1404151404151
179.0,50893.0,401.0,0.409408476944574,0.581896551724138,0.551499348109518,0.135073779795687,259.0,1248.0,409.0,44451,20.0
3201.0,116058.0,10389.0,0.952380952380952,0.825,0.594594594594595,0.0551523947750363,3648.0,26923.0,9685.0,11201,17.3443223443223
568.0,196027.0,815.0,0.944524756053488,0.340419070756149,0.898577329050023,0.0337034099920698,365.0,2412.0,664.0,10282,32.3626373626374
3237.0,39643.0,5874.0,0.654305468258957,0.644933228593873,0.4,0.167501789549034,2498.0,16242.0,4633.0,76112,16.050061050061
2213.0,63300.0,3548.0,0.610727562400425,0.312204989885367,0.755296610169492,0.0716763005780347,2067.0,12491.0,4663.0,27253,20.9340659340659
812.0,58487.0,761.0,0.672602311777569,0.140569395017794,0.768493150684932,0.0529257067718606,646.0,3435.0,1216.0,54162,24.1
1166.0,57328.0,2244.0,0.594501718213058,0.25503355704698,0.743589743589744,0.0816455696202532,1066.0,8064.0,3588.0,54235,23.3
115.0,70634.0,5550.0,0.944552529182879,0.33396480672411993,0.87719298245614,0.0230414746543779,443.0,8890.0,2782.0,43215,17.0
816.0,54535.0,1058.0,0.519523494374586,0.14548802946593,0.493882091212458,0.0466666666666667,524.0,4001.0,1603.0,82633,19.5
1464.0,33684.0,2021.0,0.574530732425469,0.348108108108108,0.538867924528302,0.125786163522013,1130.0,7928.0,3313.0,49735,20.7
3926.0,50061.0,1522.0,0.418386491557223,0.647887323943662,0.611322549952426,0.124160296502201,1541.0,8740.0,1751.0,77053,16.4163614163614
5782.0,174676.0,3149.0,0.906612821807168,0.0347082494969819,0.971233913701741,0.0400534045393858,3245.0,18844.0,6668.0,37027,25.3
1207.0,100865.0,1530.0,0.935921918098875,0.144222415291051,0.92568578553616,0.0127895752895753,1064.0,5978.0,2177.0,44321,23.0
2046.830062854524,42981.0,2568.1228805808237,0.601769911504425,0.121852970795569,1.0,0.110018438844499,1441.0497237381494,9012.283101543617,2956.2804343714283,2333,22.008547008547
1502.0,30653.0,4120.0,0.396703943496174,0.757990867579909,0.220283533260632,0.16692789968652,1304.0,10118.0,3192.0,64131,14.9
1738.0,41904.0,2379.0,0.603576751117735,0.821626617375231,0.627425614489004,0.0490605427974948,1166.0,7881.0,2598.0,40215,15.3
3518.0,35781.0,1908.0,0.562850729517396,0.584251968503937,0.583897667419112,0.123515439429929,2396.0,10974.0,3152.0,78539,20.1037851037851
2046.8300628705592,123333.0,2568.1228805560954,0.943977591036415,0.0554854981084489,0.946549391069012,0.0424440298507463,1441.0497237484803,9012.283101543744,2956.2804343684415,7924,25.2319902319902
1417.0,27091.0,2589.0,0.24934725848564,0.570526315789474,0.540250447227191,0.139636819035692,1055.0,7751.0,2690.0,42633,17.9
527.0,74866.0,478.0,0.65572105619499,0.126315789473684,0.833049403747871,0.0797233345467783,331.0,2061.0,725.0,48005,19.8
2846.0,50483.0,4783.0,0.641273247496423,0.27593085106383,0.626666666666667,0.0374123148869836,2554.0,15439.0,5256.0,45342,23.0
4009.0,77436.0,2986.0,0.680157946692991,0.150579150579151,0.863091037402964,0.0921861281826163,2450.0,14566.0,5121.0,46385,20.7851037851038
1901.0,48442.0,3770.0,0.746518105849582,0.559875583203733,0.660041841004184,0.0406238665215814,1690.0,11074.0,3713.0,77802,21.1294261294261
2760.0,25664.0,4699.0,0.562317429406037,0.756,0.401197604790419,0.169058016219588,2823.0,15525.0,5243.0,27530,16.6605616605617
157.0,41929.0,218.0,0.48936170212766,0.428152492668622,0.727272727272727,0.098820887142055,103.0,793.0,315.0,49271,19.0
2046.8300628598636,147440.0,2568.122880480259,0.882598996095929,0.0215419501133787,0.902868646200302,0.0576168929110106,1441.0497238326568,9012.283101545581,2956.2804343757866,2052,24.7680097680098
4179.0,46309.0,6416.0,0.602477876106195,0.971590909090909,0.623481781376518,0.1370664437944,2666.0,19150.0,5889.0,19148,13.8522588522589
2958.0,49280.0,5283.0,0.667595818815331,0.204737732656514,0.75,0.077752117013087,2355.0,16687.0,6091.0,15068,21.1294261294261
4475.0,42961.0,2698.0,0.662458836443469,0.541570969223702,0.649797570850202,0.0778061224489796,2730.0,14301.0,4398.0,30039,19.2246642246642
2369.0,43546.0,5254.0,0.508090614886731,0.457974137931034,0.492741935483871,0.110526315789474,1879.0,13581.0,4079.0,18018,21.3980463980464
5216.0,27948.0,6379.0,0.426178010471204,0.844029244516653,0.464491362763916,0.153488372093023,2218.0,17828.0,4015.0,75216,14.0720390720391
588.0,61250.0,398.0,0.597551644988523,0.253061224489796,0.755592377796189,0.0909490333919156,343.0,1992.0,663.0,75491,20.6898656898657
2163.0,41116.0,2422.0,0.503966597077244,0.448481238832638,0.781150159744409,0.033606204222318,1374.0,9356.0,3397.0,76033,20.2747252747253
1730.0,65319.0,2525.0,0.795380434782609,0.310924369747899,0.684676705048716,0.0709497206703911,1483.0,9124.0,3386.0,63043,22.2
3994.0,66518.0,1274.0,0.526690391459075,0.655058043117745,0.578683834048641,0.0756543564001434,1835.0,9035.0,1932.0,11417,17.954822954823
